conjunto;c;acuracia
AB;0.1778279410038923;0.7508139394670204
AC;0.03162277660168379;0.8615014558804912
AD;1.0;0.9244438225829019
AE;1.0;0.8168801808590807
AF;0.1778279410038923;0.8341758440151652
AG;0.1778279410038923;0.8481242619674811
AH;1.0;0.9324171523006002
BC;0.005623413251903491;0.847297037322047
BD;1.0;0.926941767564451
BE;0.1778279410038923;0.8356745909231245
BF;0.03162277660168379;0.7670482827277252
BG;0.1778279410038923;0.8434668499656315
BH;0.1778279410038923;0.8831483839670123
CD;1.0;0.9340262485686602
CE;1.0;0.9455950032873109
CF;0.1778279410038923;0.9153362993980634
CG;0.1778279410038923;0.9165297403877752
CH;0.1778279410038923;0.9173406355473477
DE;1.0;0.9442706852431049
DF;1.0;0.9455751545303784
DG;5.623413251903491;0.9442413162705667
DH;1.0;0.9709302325581395
EF;1.0;0.7976638023630505
EG;1.0;0.872069386095677
EH;1.0;0.9365704843015127
FG;0.1778279410038923;0.8568842305859933
FH;0.1778279410038923;0.8782664117272148
GERAL;0.03162277660168379;0.5355168840141635

